Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,1206_Capacitor,-26.100000,-30.000000,90.000000,top
C2,1uF,1206_Capacitor,-16.000000,-16.450000,0.000000,top
C7,1uF,1206_Capacitor,13.500000,-30.250000,-90.000000,top
C8,1uF,1206_Capacitor,17.500000,-30.250000,-90.000000,top
D1,WS2812B,NeoPixel_WS2812B,-16.000000,-9.435281,0.000000,top
D6,MBR120VLSFT1G,SOD-123FL,22.235281,-9.670562,-90.000000,top
J2,S2B-PH-SM4-TB(LF)(SN),JST_PH_S2B-PH-SM4-TB,31.735281,-1.935281,90.000000,top
Q1,DMG2045U,TSOT-23,22.000000,-22.500000,90.000000,top
R1,100k,1206_Resistor,-53.514719,-22.485281,-90.000000,top
R9,300R,1206_Resistor,-22.064719,-9.435281,90.000000,top
R10,3R,1206_Resistor,25.985281,-9.670562,90.000000,top
S1,KH-6X6X6H-STM,Tactile_Switch,-48.000000,-14.500000,0.000000,top
SW1,MST22D18G2 125,Sliding_Switch_DPDT,0.000000,-30.000000,0.000000,top
U1,"74HC165D,653",Shift_Register_74HC165D,-17.114719,-30.000000,0.000000,top
U2,NCP114ASN330T1G,TSOP-5,22.000000,-30.250000,90.000000,top
