Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,1206_Capacitor,-26.100000,-30.400000,90.000000,top
C2,1uF,1206_Capacitor,-16.000000,-18.200000,0.000000,top
C7,1uF,1206_Capacitor,13.500000,-30.650000,-90.000000,top
C8,1uF,1206_Capacitor,17.500000,-30.650000,-90.000000,top
CN1,SMTSOM310BTR,SMTSOM310BTR,-21.590000,0.000000,0.000000,top
CN2,SMTSOM310BTR,SMTSOM310BTR,-11.430000,0.000000,0.000000,top
CN3,SMTSOM310BTR,SMTSOM310BTR,0.000000,0.000000,0.000000,top
CN4,SMTSOM310BTR,SMTSOM310BTR,11.430000,0.000000,0.000000,top
CN5,SMTSOM310BTR,SMTSOM310BTR,21.590000,0.000000,0.000000,top
D1,WS2812B,NeoPixel_WS2812B,-16.000000,-11.200000,0.000000,top
D6,MBR120VLSFT1G,SOD-123FL,21.850000,-11.435281,-90.000000,top
J2,S2B-PH-SM4-TB(LF)(SN),JST_PH_S2B-PH-SM4-TB,31.735281,-2.335281,90.000000,top
Q1,DMG2045U,TSOT-23,22.000000,-22.900000,90.000000,top
R1,100k,1206_Resistor,-53.514719,-22.885281,-90.000000,top
R9,300R,1206_Resistor,-21.600000,-11.200000,90.000000,top
R10,3R,1206_Resistor,25.600000,-11.435281,90.000000,top
S1,KH-6X6X6H-STM,Tactile_Switch,-48.000000,-14.900000,0.000000,top
SW1,MST22D18G2 125,Sliding_Switch_DPDT,0.000000,-30.400000,0.000000,top
U1,"74HC165D,653",Shift_Register_74HC165D,-17.114719,-30.400000,0.000000,top
U2,NCP114ASN330T1G,TSOP-5,22.000000,-30.650000,90.000000,top
